total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
429,22,0,6,21.09090909090909,62,3.43,6,0,44.15,19.5,21,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/test_lowlevel.py
100,14,2,2,2.0,6,1.38,2,0,81.77,7.142857142857143,14,20,2.857,13,0.1099,1.956,0.247,0,0,requests,src/requests/structures.py
24,1,0,4,9.0,9,1.0,1,0,100.0,24.0,2,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/compat.py
59,5,0,8,6.4,22,1.0,1,0,75.6,11.8,6,2,0.667,2,0.0667,1.333,0.0,0,0,requests,tests/conftest.py
15,0,0,2,0.0,0,0.0,0,0,100.0,15.0,1,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/__init__.py
3040,274,17,30,8.043795620437956,42,2.85,8,0,0.0,11.094890510948906,271,302,2.229,183,0.0041,2.812,0.021,0,0,requests,tests/test_requests.py
153,3,25,2,7.666666666666667,8,1.29,5,0,77.25,51.0,28,28,2.0,25,0.037,2.05,0.0,0,0,requests,src/requests/exceptions.py
107,1,0,12,9.0,9,4.0,4,0,80.4,107.0,2,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/compat.py
129,2,0,1,9.0,16,6.0,6,0,84.22,64.5,3,1,0.667,1,0.1667,1.0,0.0,0,0,requests,src/requests/status_codes.py
562,49,4,7,7.877551020408164,34,2.38,9,0,39.76,11.46938775510204,53,87,3.283,27,0.0316,2.92,0.405,0,0,requests,src/requests/cookies.py
24,0,0,2,0.0,0,0.0,0,0,86.67,24.0,1,0,0.0,0,0.0,0.0,0.0,0,0,requests,src/requests/packages.py
79,12,2,2,1.75,3,2.07,3,0,45.11,6.583333333333333,12,14,2.333,9,0.1061,2.03,0.0,0,0,requests,tests/test_structures.py
9,1,0,1,4.0,4,2.0,2,0,78.02,9.0,2,0,0.0,0,0.0,0.0,0.0,0,0,requests,tests/test_adapters.py
1042,44,5,17,18.34090909090909,76,4.46,21,5,21.73,23.681818181818183,45,71,3.156,23,0.0359,2.853,0.307,0,0,requests,src/requests/models.py
28,4,1,2,2.75,5,1.8,2,0,86.45,7.0,6,3,1.0,3,0.1,1.5,0.0,0,0,requests,tests/test_help.py
